# n msd err cf err var err
5.500000000000000000e+01 1.217616477179384731e+02 2.944506119787541731e+00 7.794138202491160961e-01 1.032743285251532710e-03 2.840401443765218303e+00 6.492452157261850709e-02
5.600000000000000000e+01 1.231831812484692819e+02 2.981935665308396377e+00 7.744326668963134042e-01 1.045338427175015669e-03 2.840401443765218303e+00 6.492452157261850709e-02
5.700000000000000000e+01 1.246092587879028031e+02 3.019555307433683833e+00 7.696543571173068976e-01 1.058024248950637089e-03 2.840401443765218303e+00 6.492452157261850709e-02
5.800000000000000000e+01 1.261764981519018534e+02 3.060679717475627726e+00 7.658976760004004847e-01 1.071961069183866933e-03 2.840401443765218303e+00 6.492452157261850709e-02
5.900000000000000000e+01 1.277509380485108750e+02 3.102067000734932911e+00 7.623113067937220544e-01 1.086011949440646336e-03 2.840401443765218303e+00 6.492452157261850709e-02
6.000000000000000000e+01 1.293546058505867222e+02 3.144253538282943516e+00 7.590159842518310329e-01 1.100364176123530416e-03 2.840401443765218303e+00 6.492452157261850709e-02
6.100000000000000000e+01 1.308533894288058832e+02 3.183978684519337854e+00 7.552233633483117492e-01 1.113876469277961731e-03 2.840401443765218303e+00 6.492452157261850709e-02
6.200000000000000000e+01 1.323081494038490575e+02 3.222717345516972642e+00 7.513030999275512878e-01 1.127065229695909439e-03 2.840401443765218303e+00 6.492452157261850709e-02
6.300000000000000000e+01 1.338838022409670998e+02 3.264487739849190273e+00 7.481828749155673419e-01 1.141335326486476358e-03 2.840401443765218303e+00 6.492452157261850709e-02
6.400000000000000000e+01 1.354390968746025123e+02 3.305851769255650385e+00 7.450481668043357208e-01 1.155483892425054763e-03 2.840401443765218303e+00 6.492452157261850709e-02
6.500000000000000000e+01 1.369384306861582843e+02 3.345938397590474622e+00 7.417068077133033288e-01 1.169206457381275323e-03 2.840401443765218303e+00 6.492452157261850709e-02
6.600000000000000000e+01 1.383841590185141683e+02 3.384801371928250813e+00 7.381807549426140369e-01 1.182521903813764028e-03 2.840401443765218303e+00 6.492452157261850709e-02
6.700000000000000000e+01 1.398174628644416373e+02 3.423445307127455095e+00 7.346946708985628849e-01 1.195781184823871846e-03 2.840401443765218303e+00 6.492452157261850709e-02
6.800000000000000000e+01 1.412606237372941678e+02 3.462415791212003491e+00 7.313621524674341901e-01 1.209174655505041232e-03 2.840401443765218303e+00 6.492452157261850709e-02
6.900000000000000000e+01 1.427386874973550732e+02 3.502328537230872119e+00 7.283043159048059323e-01 1.222917040751671800e-03 2.840401443765218303e+00 6.492452157261850709e-02
7.000000000000000000e+01 1.443143664777487629e+02 3.544727044092187640e+00 7.258247989383126431e-01 1.237546884032681002e-03 2.840401443765218303e+00 6.492452157261850709e-02
7.100000000000000000e+01 1.458460209608958849e+02 3.586136633668076446e+00 7.231968262153108951e-01 1.251850767193908760e-03 2.840401443765218303e+00 6.492452157261850709e-02
7.200000000000000000e+01 1.473609139640844887e+02 3.627225384408079734e+00 7.205598930759657961e-01 1.266061888723687924e-03 2.840401443765218303e+00 6.492452157261850709e-02
7.300000000000000000e+01 1.488741498208084693e+02 3.668364608093984458e+00 7.179872126280015809e-01 1.280309762812481674e-03 2.840401443765218303e+00 6.492452157261850709e-02
7.400000000000000000e+01 1.502842167493025158e+02 3.707050633799379380e+00 7.149932268790104573e-01 1.293720526867913169e-03 2.840401443765218303e+00 6.492452157261850709e-02
7.500000000000000000e+01 1.516974449763428652e+02 3.745901403481411318e+00 7.120939204295652081e-01 1.307207808920523998e-03 2.840401443765218303e+00 6.492452157261850709e-02
7.600000000000000000e+01 1.531500620055347497e+02 3.785813121552940252e+00 7.094533764700600154e-01 1.321084211384425952e-03 2.840401443765218303e+00 6.492452157261850709e-02
7.700000000000000000e+01 1.546406464363096802e+02 3.826754169943888506e+00 7.070550143525560216e-01 1.335338558967541240e-03 2.840401443765218303e+00 6.492452157261850709e-02
7.800000000000000000e+01 1.560082088773873750e+02 3.864739877618044606e+00 7.041628733178151300e-01 1.348580320573301893e-03 2.840401443765218303e+00 6.492452157261850709e-02
