# time Ni NiV
1.100999999999999998e-10 1.770243497966220991e-01 2.084637106117064422e-08
1.110000000000000044e-10 1.782728518564117293e-01 3.562484220540286818e-08
1.113000000000000060e-10 1.770247747415374107e-01 2.063713316255240627e-08
1.118000000000000043e-10 1.782508207293754254e-01 2.215291478031362673e-08
1.118999999999999962e-10 1.717155585604377421e-01 2.175151825260053801e-08
1.121000000000000058e-10 1.782508195239007331e-01 2.215105706023909320e-08
1.121999999999999977e-10 1.785750740020307925e-01 2.719169184909172486e-09
1.121999999999999977e-10 1.767663012592661231e-01 1.052233521813383141e-08
1.123999999999999944e-10 1.792635056373896585e-01 1.544293176913522731e-08
1.152000000000000003e-10 1.810055840764148161e-01 1.976505955053562948e-08
1.153000000000000051e-10 1.831018280852129143e-01 2.276300639419345892e-08
1.166999999999999951e-10 1.810055846734212881e-01 1.976398110308957229e-08
1.170000000000000096e-10 1.831065770818655902e-01 2.035837727759665573e-08
1.176000000000000127e-10 1.859303515840858290e-01 1.955878444708900080e-08
1.193999999999999961e-10 1.831065787282296631e-01 2.035913489209750241e-08
1.197000000000000106e-10 1.810176433951684594e-01 8.733417941313461631e-09
1.197999999999999896e-10 1.790629417552129787e-01 9.731580201832014055e-09
1.215999999999999988e-10 1.812241586133757354e-01 1.301219616830652420e-08
1.215999999999999988e-10 1.877708877356360773e-01 1.700006825426916462e-08
1.223000000000000068e-10 1.909488864760243154e-01 1.968799096103088718e-08
1.230999999999999937e-10 1.908367419568558210e-01 4.910543180406770597e-09
1.235999999999999919e-10 1.882194153814460980e-01 3.394432447834186579e-08
1.236999999999999968e-10 1.862017522559890614e-01 1.942962127076540162e-08
1.247999999999999981e-10 1.882186320813249991e-01 3.266000672566372496e-08
1.249000000000000030e-10 1.904723011323888326e-01 4.333441893261916499e-08
1.251999999999999916e-10 1.885409494586324508e-01 4.592074531904982187e-08
1.263999999999999978e-10 1.951764630216165364e-01 4.704885167831082870e-08
1.263999999999999978e-10 1.979577105274464011e-01 1.624249685142058130e-08
1.268999999999999961e-10 2.004790784579145446e-01 3.760084699347928348e-08
1.276000000000000040e-10 2.006140129959111673e-01 3.606503959012576476e-09
1.277000000000000088e-10 2.001141979358311562e-01 5.097816029343264891e-09
1.282000000000000071e-10 1.979596284598172662e-01 3.585650092221704832e-08
1.288999999999999891e-10 1.984210056020374868e-01 6.776404801273092762e-09
1.293999999999999874e-10 2.048585044375694775e-01 1.920219027169694822e-08
1.297000000000000019e-10 2.068039724799155821e-01 1.928623397686693788e-08
1.303000000000000050e-10 2.046929029364165653e-01 2.366330185995963439e-08
1.316999999999999950e-10 2.075181109433532622e-01 1.907175918413289541e-08
1.320000000000000095e-10 2.095777138673249329e-01 2.390441052398698078e-08
1.326000000000000126e-10 2.075195162312668540e-01 1.728508816410494127e-08
1.326000000000000126e-10 2.097363624000365134e-01 9.109852060239104833e-09
1.335000000000000043e-10 2.122146916860586929e-01 1.896407521580502377e-08
1.337999999999999929e-10 2.145388454183628779e-01 2.391862729389844378e-08
1.348999999999999943e-10 2.169211647869244697e-01 2.154624455208817200e-08
1.358999999999999908e-10 2.193369957013026617e-01 2.036086110852351706e-08
1.374999999999999905e-10 2.217818196068968017e-01 8.708740158360499226e-09
1.381999999999999984e-10 2.240979649196499779e-01 1.330103867411891513e-08
1.402999999999999963e-10 2.264114289185933104e-01 1.418365610308960831e-08
1.410000000000000042e-10 2.265084677647254963e-01 1.961078394659216063e-09
1.427000000000000087e-10 2.286425502779330377e-01 2.404466840863219689e-08
1.427000000000000087e-10 2.314997852947151269e-01 1.655711689566838253e-08
1.438000000000000101e-10 2.379527417630879493e-01 2.192379914687159926e-08
1.438999999999999890e-10 2.361142790243177247e-01 3.899402104021117033e-08
1.442000000000000035e-10 2.385604511089068347e-01 4.363148692516690406e-08
1.444999999999999921e-10 2.384140431943628791e-01 5.623901459400715378e-09
