# n msd err cf err var err
1.360000000000000000e+02 4.861527166933161670e-01 1.779931558570233203e-04 8.060852458566934997e-01 1.013460539888629527e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.370000000000000000e+02 4.897187428070404747e-01 1.793468594952188800e-04 8.060710472127116111e-01 1.021358032012504038e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.380000000000000000e+02 4.932825920415981891e-01 1.807005050323832649e-04 8.060534971943686955e-01 1.029257337978312900e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.390000000000000000e+02 4.968453005512747378e-01 1.820544723931607101e-04 8.060343490912080799e-01 1.037160623152792195e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.400000000000000000e+02 5.004109912184193654e-01 1.834102732560745678e-04 8.060202779428419229e-01 1.045076503275939316e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.410000000000000000e+02 5.039779291417356699e-01 1.847672733576789014e-04 8.060084011133638038e-01 1.053001370532814822e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.420000000000000000e+02 5.075454707985236347e-01 1.861252379797821320e-04 8.059976503102964651e-01 1.060933891901317607e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.430000000000000000e+02 5.111105299865396079e-01 1.874830361407951165e-04 8.059831352002526650e-01 1.068867623653687534e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.440000000000000000e+02 5.146735852721224802e-01 1.888408436047748910e-04 8.059656836289527115e-01 1.076803568683623003e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.450000000000000000e+02 5.182334006738260612e-01 1.901982070647096278e-04 8.059434341837864446e-01 1.084739142908348848e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.460000000000000000e+02 5.217928903352906378e-01 1.915561962840994412e-04 8.059209864123327849e-01 1.092680448345899910e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.470000000000000000e+02 5.253538929119998535e-01 1.929154872498469884e-04 8.059011648886034163e-01 1.100631344818696945e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.480000000000000000e+02 5.289138732519896857e-01 1.942751501374562521e-04 8.058800536914929591e-01 1.108586531714545705e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.490000000000000000e+02 5.324736770463330826e-01 1.956354962707066239e-04 8.058589586775661839e-01 1.116547788222801205e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.500000000000000000e+02 5.360311687516667867e-01 1.969957416827161590e-04 8.058346690850733962e-01 1.124510642556169384e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.510000000000000000e+02 5.395891478272289987e-01 1.983569157028579777e-04 8.058114290377972333e-01 1.132480972432321982e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.520000000000000000e+02 5.431480245352673375e-01 1.997191702502863384e-04 8.057898264675319444e-01 1.140459649442342608e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.530000000000000000e+02 5.467073166241476212e-01 2.010823291371733506e-04 8.057691184963092779e-01 1.148445671862306878e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.540000000000000000e+02 5.502652309835167621e-01 2.024457337133088496e-04 8.057466620672688595e-01 1.156435281278365890e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.550000000000000000e+02 5.538256731458416349e-01 2.038108217468793254e-04 8.057281729494208955e-01 1.164436694156322873e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.560000000000000000e+02 5.573880628597460696e-01 2.051773813250141716e-04 8.057127360863236554e-01 1.172448705900604348e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.570000000000000000e+02 5.609491659092522564e-01 2.065442231033864798e-04 8.056956478250862919e-01 1.180464524736177279e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.580000000000000000e+02 5.645098681702644949e-01 2.079116738976443887e-04 8.056782038587135819e-01 1.188486020993042873e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.590000000000000000e+02 5.680709155047292125e-01 2.092800092969016566e-04 8.056614687106232742e-01 1.196514773426415289e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.600000000000000000e+02 5.716287350941842149e-01 2.106479137359188012e-04 8.056403936422947831e-01 1.204543263221137930e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.610000000000000000e+02 5.751841042766642209e-01 2.120156737093842553e-04 8.056161482794222950e-01 1.212573128984585992e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.620000000000000000e+02 5.787382481984704174e-01 2.133837411328657306e-04 8.055904967069885680e-01 1.220606956715954813e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.630000000000000000e+02 5.822936278331459770e-01 2.147530241936326746e-04 8.055668694093583992e-01 1.228649944631855545e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.640000000000000000e+02 5.858473591635258160e-01 2.161224602702626469e-04 8.055412638278761639e-01 1.236696017145452632e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.650000000000000000e+02 5.893994882341019315e-01 2.174920667957645412e-04 8.055137788589008530e-01 1.244745275862470605e-05 4.434583497218393816e-03 1.567862031310540775e-06
1.660000000000000000e+02 5.929522117709854490e-01 2.188626550536336565e-04 8.054874325783643041e-01 1.252802366584787398e-05 4.434583497218393816e-03 1.567862031310540775e-06
