# n msd err_msd cf err_cf var err_var
9.800000000000000000e+01 5.581025083547506256e+02 1.390053308312142200e+01 9.328439682086789864e-01 2.375108704963737032e-03 6.104904730826696380e+00 1.365098197428854798e-01
9.900000000000000000e+01 5.629067160151134885e+02 1.403761761456909163e+01 9.313702138026853650e-01 2.400190988205348243e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.000000000000000000e+02 5.677583873414613436e+02 1.417625043186994382e+01 9.300036812606874426e-01 2.425569289363486980e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.010000000000000000e+02 5.726103812792936196e+02 1.431525953198234191e+01 9.286647319832699310e-01 2.451043609369605962e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.020000000000000000e+02 5.774133104420484415e+02 1.445341083045324204e+01 9.272732430484306176e-01 2.476402759183567517e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.030000000000000000e+02 5.824103732656243437e+02 1.459679705366064972e+01 9.262175075072589525e-01 2.502691185246876896e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.040000000000000000e+02 5.872632954571756727e+02 1.473694995835558963e+01 9.249550493074344404e-01 2.528457942691826957e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.050000000000000000e+02 5.922280099785587026e+02 1.488028863210403685e+01 9.238910368609113410e-01 2.554804108368849414e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.060000000000000000e+02 5.974036145148445485e+02 1.502931899708288732e+01 9.231729902912402252e-01 2.582161470695783050e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.070000000000000000e+02 6.026589718813897889e+02 1.518076018987006215e+01 9.225904560922257858e-01 2.609968099684934189e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.080000000000000000e+02 6.077597751903341532e+02 1.532871260874024344e+01 9.217842986837883057e-01 2.637209982747110854e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.090000000000000000e+02 6.128190044979464801e+02 1.547601691858883122e+01 9.209304566911223899e-01 2.664375067441414509e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.100000000000000000e+02 6.176873381700916070e+02 1.561889569221458984e+01 9.198078734227065345e-01 2.690812480061339097e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.110000000000000000e+02 6.223573666682817702e+02 1.575714514048732795e+01 9.184128778989848474e-01 2.716485653189228220e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.120000000000000000e+02 6.269997595386894318e+02 1.589507487182619094e+01 9.170023752328426703e-01 2.742136551980378124e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.130000000000000000e+02 6.314662168128663779e+02 1.602892004130945836e+01 9.153618042138870203e-01 2.767115258167974524e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.140000000000000000e+02 6.359282569289047160e+02 1.616302500262721153e+01 9.137436682784429998e-01 2.792170947682558364e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.150000000000000000e+02 6.404765576552944140e+02 1.629969922689648598e+01 9.122765409905795320e-01 2.817703077878289282e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.160000000000000000e+02 6.447064745243453672e+02 1.642864220214928395e+01 9.103851215712729372e-01 2.841930841392263478e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.170000000000000000e+02 6.486549903582751995e+02 1.655076818216371137e+01 9.081320661168083008e-01 2.865009895380010111e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.180000000000000000e+02 6.527535336381738489e+02 1.667707373315216302e+01 9.061254599388446351e-01 2.888842808971882944e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.190000000000000000e+02 6.568467868154993994e+02 1.680360262243877401e+01 9.041452964429447237e-01 2.912745418905852719e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.200000000000000000e+02 6.608448512377409543e+02 1.692805366613396956e+01 9.020682008637075366e-01 2.936318776317510103e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.210000000000000000e+02 6.648160047513546260e+02 1.705217072486577123e+01 8.999890070293352640e-01 2.959864970966495125e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.220000000000000000e+02 6.689749713635437729e+02 1.718146805521069709e+01 8.981960647036463241e-01 2.984341818164377991e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.230000000000000000e+02 6.730507175250447744e+02 1.730899673475067502e+01 8.963214487883022219e-01 3.008543473334372807e-03 6.104904730826696380e+00 1.365098197428854798e-01
1.240000000000000000e+02 6.771298304314071856e+02 1.743698026254650912e+01 8.944815160487354921e-01 3.032856181403571424e-03 6.104904730826696380e+00 1.365098197428854798e-01
