step time ezz temp pe pxx pyy szz vol
1490 7.45 0 623.364672050021 -5820.67246626881 16835.5107451779 16348.4818407085 -1.49000752772962 15646.6775250918
1500 7.5 0 610.532737517902 -5818.10373770232 18091.8823687148 17240.2020314327 -1.60934106619182 15649.5115405776
1510 7.55 0 610.653494621127 -5817.8396648061 18301.782157126 16911.5177692588 -1.66120362905426 15652.5804017048
1520 7.6 0 626.837106089058 -5820.41984333449 17111.8773372235 15313.9833844216 -1.54979819440277 15655.8834583155
1530 7.65 0 647.044515232396 -5823.70212363177 15759.7346095248 13729.0505992089 -1.38659098783302 15659.400220133
1540 7.7 0 654.323228778651 -5824.68601085846 15611.8636712624 13128.4627649757 -1.34082309488454 15663.1071347796
1550 7.75 0 643.51422031838 -5822.46901179171 16337.6012328475 13448.2450387705 -1.43092710665317 15666.9962939012
1560 7.8 0 626.468983224469 -5819.1595591864 16542.2306955012 13952.2128721863 -1.52389804653274 15671.0746158622
1570 7.85 0 617.352178543429 -5817.26610127474 15625.6121867958 14177.6420262206 -1.50475495880746 15675.3479997012
1580 7.9 0 619.346874314954 -5817.34161123387 13770.8970755905 13839.7078761049 -1.36826206194197 15679.8102273845
1590 7.95 0 628.564248802836 -5818.69301122942 11505.2868287391 12549.6296807757 -1.17188716710662 15684.4416034471
1600 8 0 639.421293604212 -5820.3235459393 9805.8602230204 10902.9002787846 -0.978030169867414 15689.2132271864
1610 8.05 0 645.136322822724 -5821.03591474745 9315.04073057646 9900.02788439687 -0.855700514106231 15694.0976370101
1620 8.1 0 641.19457724134 -5820.03681086244 9638.62232772641 9873.75816978818 -0.825786266512621 15699.0799669629
1630 8.15 0 631.698356888938 -5818.0576151871 9777.17458217851 10428.7095296615 -0.837234525684588 15704.1585890587
1640 8.2 0 624.768195169499 -5816.53836123381 9078.84576793699 10644.4562914297 -0.825408651463419 15709.3359021904
1650 8.25 0 625.409986107607 -5816.36448071461 7746.14947981018 9947.93356686054 -0.763883653022999 15714.6076936132
1660 8.3 0 629.710478752952 -5816.83260787306 6504.55216670317 8921.92684479173 -0.705685345925111 15719.9603978645
1670 8.35 0 630.952298274116 -5816.75506263136 5785.05934937339 8094.96654054394 -0.66924091976024 15725.3790639485
